name,image,url,contents
24FW[CERINI BY PAT] 남성 워셔블 발수스판 셔츠 4종,18439206.jpg,https://www.w-shopping.co.kr/display/goods/18439206,"**제품명:** 24FW[CERINI BY PAT] 남성 워셔블 발수스판 셔츠 4종

**상세 설명:**
- 카라 부분에 다운 버튼 처리하여 깔끔하게 작용 가능
- 타이를 했을 때에도 흐트러짐 없음
- 편안한 착용감
- 폴리우레탄 4% 함유로 활동성이 좋으며 몸에 붙는 현상 최소화

**기능:**
- 간단한 사물 보관이 용이한 가슴 포켓 처리
- 배 부분에 매너 단추 추가하여 벌어짐 현상 최소화

**사이즈 정보:**
- 사이즈는 재는 방법에 따라 1~3cm 오차가 발생할 수 있습니다.
- 사이즈 표는 제품을 바닥에 두고 측정한 것입니다.

**색상/소재:**
- 색상: 네이비, 스카이블루, 도트화이트
- 혼용율: 폴리에스터 96%, 폴리우레탄 4%

**세탁법/취급 주의사항:**
1. 본 제품은 기계 세탁 하십시오.
2. 미지근한 물에 중성 세제로 세탁하십시오.
3. 표백제나 효소 세제는 사용하지 마십시오.
4. 세제를 30분 이상 젖은 상태로 방치하면 진한 색상은 이염될 우려가 있으니 주의하십시오.
5. 세탁 시 탈색 우려가 있으므로 반드시 찬물에 질은 색상과 흰색상을 분리하여 세탁하십시오.
6. 탈수 후 그늘에서 건조하십시오.
7. 세탁 부주의로 인한 탈색 및 오염, 보풀이 발생한 제품은 교환할 수 없으니 주의하십시오.
8. 비틀어 짜지 마십시오.
9. 뾰족하거나 표면이 거친 물건과의 접촉 시 당겨짐 현상이 발생할 수 있으니 주의하십시오.
10. 화기에 가까이 할 경우 불길이 붙을 가능성이 있으므로 주의하십시오.

**제조원/원산지/제조년월:**
- 수입원: (주)웰투두
- 판매원: (주)웰투두 / (주)제이에이치엘
- 원산지: 중국
- 제조년월: 2024년 02월
- A/S: 각 쇼핑몰에 문의"
"[인디고랩] 24FW 스페셜 릴렉스 데님 3종, 남성",18182942.jpg,https://www.w-shopping.co.kr/display/goods/18182942,"인디고랩 FW 스페셜 릴렉스 데님 33

트렌드를 가미한 NEW 핏의 BAIA 프릴렉스 핏입니다. 힙부터 밑단까지 전체적으로 여유감이 있어 편안하면서도 다리가 길어 보이는 이상적인 핏입니다. 기존보다 바지통에 여유를 주어 편안한 착용감을 제공합니다.

컬러별로 다른 워싱 기법을 사용하여 입체적인 워싱 효과를 내어, 빈티지한 텍스처와 최적의 컬러감의 블루 데님을 완성하였습니다.

- 솔트 워싱 (Salt Washing)
- 스노우 워싱 (Snow Washing)
- 바이오스톤 워싱 (Bio Stone Washing)

워싱 전문가의 수작업 핸드 크래프트 워싱으로 FW 시즌에 맞춰 자연스럽고 감각적인 워싱 표현이 돋보입니다.

신축성: 4way stretch
- 라이크라 원사가 함유된 소재 (폴리우레탄 2%)로 신축성이 좋고 착용감이 우수하여 신체 활동이 자유롭습니다. 
- 내구성과 회복성이 뛰어나 여러 번 착용 후에도 형태 안정성이 우수합니다.
*라이크라(LYCRA®)는 라이크라 컴퍼니의 등록 상표입니다.

색상:
- 미들 인디고
- 다크 인디고
- 잉크

사이즈 구성:
#28 | #29 | #30 | #32 | #34 | #36 | #38
총 기장: 101.5 | 102 | 102.5 | 103.5 | 104.5 | 105.5 | 106.5

상품 정보:
상품명: 인디고랩 남성 스페셜 릴렉스 데님 3종
색상: 미들 인디고 / 다크 인디고 / 잉크
소재/재질: 면 68%, 폴리에스터 19%, 레이온 11%, 폴리우레탄 2% (심지, 보강재, 상표, 밴드, 장식 제외)
사이즈: 28/29/30/32/34/36/38
수입/판매원: (주)컴투진
제조국: 방글라데시
제조년월: 2024년 07월

주의사항:
컬러의 경우 소재 특성상 물빠짐이 있을 수 있으니 세탁 전 세탁주의 라벨을 확인하시기 바랍니다. 사용 및 보관 시 염료의 특성상 물빠짐이 있을 수 있으니 반드시 다른 제품과 분리하여 세탁해주세요. 마찰에 의한 이염이 우려되므로 흰색을 포함한 밝은 색상의 의류, 가방, 신발 등과 함께 착용 시 주의하시기 바랍니다. 단독으로 미지근한 물에 중성세제로 손세탁을 권장합니다.

3종 세트 상품으로 날개 교환/반품이 어려울 수 있습니다. 상품상의 하자로 인한 수선에 대해서는 무상으로 처리해 드리나, 고객의 취급 과실로 인한 수선은 유료 수선됩니다.

소비자 상담실: 070 - 7596 - 8436"
"24FW[아놀드파마] 퀼팅 카라 재킷 1종, 남성",18393803.jpg,https://www.w-shopping.co.kr/display/goods/18393803,"아놀드파마의 퀼팅 카라 재킷 1종, 남성

이 제품은 기능성과 스타일을 강조한 스포티브 캐주얼 브랜드로서의 아이덴티티를 표현하고 있습니다. 아놀드파마의 브랜드는 골퍼 시절 가장 기억에 남았던 순간들 중에서 영감을 받아 탄생한 일화로 유명합니다.

QUILTING CHONDRO POINT JACKET 1SET는 대중적인 인지도가 높은 아놀드파마 브랜드의 코드로이 포인트 자켓으로, 합리적인 가격에 구매할 수 있는 기회를 제공합니다.

색상:
- 그레이
- 네이비
- 블랙

DETAIL:
- 좌측 주머니 하단에 아놀드파마 시그니쳐 우산 자수 로고가 있는 깔끔하고 심플한 디자인 포인트
- 넥 부분과 호주머니, 소매부리 및 밑단에 라벨 포인트 및 코드로이 포인트 디자인
- 아놀드파마 로고가 각인된 단추로 고급스러움을 더하고, 안쪽에 미니 포켓을 부착하여 실용성을 높임
- 제품 전체에 사각 BEY 모양으로 박음질하여 UV 차단 효과로 야외 활동 시 자외선을 효과적으로 차단
- 겨울철 눈과 비에 강하며, 세탁이 용이하여 실용성이 좋음

제품 스펙:
- 사이즈: 9500, 100(L), 105(XL), 100000
- 가슴둘레: 55, 58, 60, 63
- 소매부리: 12, 13, 14, 15
- 혼용률: 겉감, 안감: 폴리에스터 100%
- 제조국: 중국

세탁 주의사항:
- 미온수와 중성 세제를 사용하여 세탁하며, 세탁 후 그늘에서 건조
- 표백제 금지, 색상 분리 세탁 요망
- 손세탁 및 기계세탁 가능하나, 장시간 물에 담가두지 마세요.
- 취급 및 세탁 부주의로 인한 변형, 훼손 시 교환/반품이 어려움

구성: 아놀드파마 남성 코드로이 포인트 자켓 1종
색상: 그레이 / 네이비 / 블랙
사이즈: 9500 / 100(L) / 1050
제조자: (주)에이치앤비 패션 OEM

2024년 9월 수입자: (주)에이치앤비 패션"
스프리스 남성 항공 집업점퍼 4종 택1,18483913.jpg,https://www.w-shopping.co.kr/display/goods/18483913,"스프리스 남성 항공 집업점퍼 4종 택1  
트렌디셔널한 스포티 캐주얼 브랜드 스프리스는 현대적인 라이프 스타일의 기능성과 편의성을 지향하며, 일상 속 실용성과 아름다움을 동시에 만족하는 어반 스포티 라이프 스타일 스포츠 브랜드입니다.  
색상: 블랙, 네이비, 차콜, 카키  
사이즈: 90, 95, 100, 105, 110, 115  
제조국: 베트남  
제조원/수입원: 스프리스  
제조년월: 2023.01  

품질보증기준: 공정거래위원회 고시(소비자 분쟁 해결 기준)에 의거하여 보상합니다.  

**세탁방법**  
사용하기 전, 세탁 전 주의 사항은 제품과 상품 택에 명시된 내용을 반드시 확인 및 준수하여 주십시오.  
- 기계 세탁 가능 (울 코스, 망 사용)  
- 온수 사용 금지  
- 기계 건조 금지  
- 화기 금지  
- 단독 세탁 권장  
*열 또는 기계 건조하지 마세요.  
*신체에 직접 닿는 제품의 경우 사람에 따라 피부 트러블 및 알레르기를 일으킬 수 있으니 주의하여 주십시오.  

1. 염소 표백제 및 강력 효소 세제는 절대 사용하지 마십시오.  
2. 흰옷과 유색옷은 이염될 수 있으므로 구분하여 세탁하십시오.  
3. 나염이 들어간 제품은 나염에 손상이 가지 않도록 뒤집어서 세탁하십시오.  
4. 불꽃 접근 시 불길이 옮겨 붙을 가능성이 있으니 주의하여 주십시오.  
5. 강한 햇볕을 피하고 통풍이 잘 되는 곳에서 건조해 주십시오.  
6. 묻은 상태로 방치하시면 변색이나 형태 변형의 원인이 되므로 세탁 후 건조해 주십시오.  
7. 심한 마찰로 인한 늘어짐을 주의하십시오.  
8. 세탁 후 그대로 놓아두면 탈색이나 이염이 될 수 있으니 곧 탈수하십시오.  

**배송 안내**  
택배사: 대한통운 (1588-1255)  
상품 주문 시 영업일 기준(주말 제외) 익일 출고 진행되며, 배송은 택배사 사정에 따라 2~3일 지연될 수 있습니다.  
출고 당일 취소 및 변경은 불가하며, 주문 당일 취소/변경을 원하실 경우 주문 취소 후 재결제를 바랍니다.  
출고지가 같은 상품들만 묶음 배송이 가능하며 (일부 상품 제외), 주문 증가로 인해 품절 및 배송 지연이 발생할 수 있는 점 양해 부탁드립니다.  
도서산간 및 제주도 추가 배송비 3,000원, 도서 산간 추가 배송비 5,000원, 추가 배송비 안내: 추자도/우도 추가 배송비 10,000원.  
추가 운임 발생 지역은 추가 결제를 안내드릴 수 있습니다.  
무료 배송일 경우에도 추가 배송비는 고객님 부담입니다.  
교환/반품의 경우에도 추가 비용 별도로 결제가 필요합니다.  

**입금계좌**  
농협 355-0071-0863-03 주식회사 건원홀딩스  

**교환 및 반품 안내**  
상품 수령 후 7일 이내 구매하신 사이트를 통해"
펠틱스 남성 다이마루 조거팬츠 3종 택1,16150318.jpg,https://www.w-shopping.co.kr/display/goods/16150318,"펠틱스  
AUTHENTIC SINCE 2008  

세련된 핏, 그리고 편안한 착용감의 베이직한 조거팬츠입니다. 스니커즈, 앵클부츠, 힐 등의 신발을 매칭하여 다양한 스타일을 연출할 수 있으며, 스트릿 무드의 이지웨어룩을 완성시켜줄 완벽한 아이템입니다. 어디에나 어울리는 베이직한 컬러 구성으로 부담없이 착용 가능한 데일리 팬츠입니다.

**상품명:** 펠틱스 남성 다이마루 조거팬츠 3종 택1  
**사이즈:** M(28), L(30), XL(32), XXL(34)  
**컬러:** 블랙, 다크 멜란지, 카키  
**소재:** 겉감: 폴리에스터 100%  
**제조자/수입원:** (주)토마스힐  
**제조국:** 베트남/중국  
**세탁방법:** 기계세탁  
**제조년월:** 2023년 4월 18일  

**배송 안내:**  
택배사: 대한통운 (1588-1255)  
상품 주문 시 영업일 기준(주말 제외) 익일 출고 진행되며, 배송은 택배사 사정에 따라 2~3일 지연될 수 있습니다. 출고 당일 취소 및 변경은 불가하며, 주문 당일 취소/변경을 원하실 경우 주문취소 후 재결제를 바랍니다. 출고지가 같은 상품들만 묶음 배송이 가능하며(일부 상품 제외) 주문 증가로 인해 품절 및 배송 지연이 발생할 수 있는 점 양해 부탁드립니다.  

**추가 배송비 안내:**  
- 도서산간: 제주도 추가 배송비 3,000원  
- 도서산간 추가 배송비 5,000원  
- 추가도/우도 추가 배송비 10,000원  
추가 운임 발생 지역은 추가 결제를 안내드릴 수 있습니다. 무료 배송일 경우에도 추가 배송비는 고객님 부담입니다. 교환/반품의 경우에도 추가 비용이 발생할 수 있습니다.  

**교환 및 반품 안내:**  
교환/반품 배송비: 6,000원  
상품 수령 후 7일 이내 구매하신 사이트를 통해 교환/반품 신청이 가능합니다. 상품 도착 후 영업일 기준 3~4일 정도 검수 기간이 소요될 수 있습니다. 배송비 동봉 시 분실될 우려가 있으니 사이트 내 결제가 불가능할 경우에는 입금 결제가 안전합니다. 타 택배/편의점 택배 이용 시, 선불 발송 후 초도 배송비 3,000원은 입금해 주셔야 합니다.  

반품의 경우 결제하신 사이트에서 접수가 되어야 환불이 가능하며, 판매자 사유(오배송/불량) 접수 시 상세 사유를 알려주셔야 검수가 가능합니다. 교환의 경우 상품을 먼저 회수 후에 교환 상품 출고가 가능합니다. 빠른 처리를 원하시는 경우 반품 후 재구매를 권장 드립니다. 불량/오배송 사유 교환 시에는 동일 옵션으로만 처리가 가능합니다.  

**반품 주소지:**  
주) 건원 물류창고  
경기도 양주시 은현면 화합로 969번길 185-57  
경기도 양주시 은현면 용암리 119-6  

화면에서 보이는 제품의 색상은 모니터의 사"
24SS [CERINI BY PAT] 남성 봄 릴렉스 팬츠 3종,16341135.jpg,https://www.w-shopping.co.kr/display/goods/16341135,"니 블 x| 패즈  
남성 워셔블 스트레치 팬츠  
색상: 블랙 | 네이비 | 그레이  
사이즈: 28, 30, 32, 34, 36, 38, 40, 42  

본 상품은 남성 워셔블 스트레치 팬츠입니다.  
12가지 퍼포먼스 기능이 포함되어 있습니다.  
배마모성, 스판, 소프트 터치, 기계세탁, 기계건조 가능.  

디테일:  
- 노턱 디자인: 앞주름이 없는 노턱 디자인으로 슬림해 보이며 다리가 길어 보이는 세미 캐주얼 스판 팬츠입니다.  
- 히든 릴렉스밴드 기능: 숨겨진 허리밴드로 편안한 착용감과 활동성을 제공합니다.  
- 앞주머니 디테일: 심플하면서 깔끔한 디자인의 앞주머니.  
- 뒷주머니 디테일: 심플한 주머니로 깔끔한 디자인.  
- 바지 허리 실리콘 밴드 처리: 셔츠 등이 빠지지 않도록 합니다.  
- 발수 가공 처리: 빗물이나 물방울이 스며들지 않도록 처리되었습니다.  

SIZE INFORMATION: 사이즈/세탁법/원산지  
색상: 블랙, 네이비, 그레이  
겉감: 폴리에스터 92%, 폴리우레탄 8%  
안감: 폴리에스터 95%, 폴리우레탄 5%  

세탁법/취급주의사항:  
1. 세탁 시 탈색의 우려가 있으므로 반드시 찬물에 질은 색상과 흰색상은 분리하여 세탁하십시오.  
2. 중성세제를 사용하여 세탁하십시오.  
3. 세탁 시 충분히 헹구십시오.  
4. 세탁 시 부주의로 인해 손상된 제품은 교환이 불가능합니다.  
5. 착용 시에는 다른 의류나 소파, 자동차 시트, 구두, 가방 등의 흰색이나 밝은 색상으로 이염되는 경우가 있으므로 주의하시기 바랍니다.  

제조원: YAMAN GARMENT CO.,LTD  
수입원: (주)수민041  
판매원: (주)웰투두 / (주)제이에이치엘  
원산지: 중국 / 베트남  
제조년월: 2024년 01월  
A/S: 070-4282-1577  

사이즈 측정 표:  
사이즈는 재는 위치 및 방법에 따라 1~2cm 오차가 발생할 수 있으니 양해 바랍니다.  
또한, 평균 신체 사이즈를 기준으로 작성하였으므로, 평균 사이즈와 달리 특수한 경우에 생기는 사이즈 차이는 감안하여 주시길 바랍니다."
[CERINI BY PAT] 워셔블 면스판 팬츠 총 3종,16257372.jpg,https://www.w-shopping.co.kr/display/goods/16257372,"**[CERINI BY PAT] 워셔블 면스판 팬츠 총 3종**

색상: 블랙, 네이비, 베이지  
사이즈: 28, 30, 32, 34, 36, 38, 40, 42

**상품 특징**  
- 12가지 퍼포먼스 기능  
  - 발수  
  - 주름 방지  
  - 투습  
  - 논슬립 밴드  
  - 스트레치  
  - 소프트 터치  
  - 기계 세탁 가능  
  - 기계 건조 가능  

**디자인**  
- 남성용 워셔블 면스판 팬츠는 노턱 디자인으로 슬림해 보이며 다리가 길어 보이는 효과를 제공합니다.  
- 히든 릴렉스 밴드 기능으로 편안한 착용감과 활동성을 제공합니다.  
- 심플하고 깔끔한 디자인의 앞주머니와 뒷주머니 디테일이 특징입니다.  

**소재 정보**  
- 표면: 폴리에스터 77%, 면 20%, 폴리우레탄 3%  
- 이면: 폴리에스터 95%, 폴리우레탄 5%

**세탁법 및 취급 주의사항**  
1. 세탁 시 탈색의 우려가 있으므로 반드시 찬물에 색상과 흰색상을 분리하여 세탁하십시오.  
2. 중성 세제를 사용하여 세탁하십시오.  
3. 세제를 충분히 풀어 사용하십시오.  
4. 세탁 시 부주의로 인해 손상된 제품은 교환이 불가능합니다.  
5. 착용 시 다른 의류나 소파, 자동차 시트, 구두, 가방 등과의 마찰로 인해 이염될 수 있으므로 주의하십시오.  

**제조원/원산지/제조년월**  
- 제조원: (주)수민  
- 수입원: (주)수민  
- 판매원: (주)제이에이치엘, (주)웰투두  
- 원산지: 중국  
- 제조년월: 2023년 07월  
- A/S 문의: 070-4282-1577  

**사이즈 측정 표**  
사이즈는 측정 위치 및 방법에 따라 1~2cm 정도의 오차가 발생할 수 있으니 양해 바랍니다. 평균 신체 사이즈를 기준으로 작성하였으므로, 개인의 신체 사이즈에 따라 다를 수 있습니다.

**교환 및 반품 안내**  
- 교환 및 반품은 배송 완료 후 7일 이내에 요청 가능하며, 인수 시 불량 부분을 꼼꼼하게 확인해 주시기 바랍니다.  
- 고객 변심에 의한 반품은 미사용 상태에서 반송하여 주셔야 합니다.  
- 상품 사용 또는 훼손된 경우에는 교환 및 반품이 불가능합니다.  
- 취소 및 변경은 당일 주문 건에 한하여 가능합니다.  

**반품 주소지**  
- 경기도 파주시 광탄면 혜음로 601번길 91-18"
울시 24SS 남여 카라 반팔티 4종 택1,18313000.jpg,https://www.w-shopping.co.kr/display/goods/18313000,"울시 24SS 남여 카라 반팔티 4종 택1

**상품 정보**
- **옵션 01**: 남성 카라 반팔티 4종 택1
- **옵션 02**: 여성 카라 반팔티 4종 택1

**색상 선택**
- 남성: 블랙, 틸그린, 멜란지차콜, 화이트
- 여성: 딥네이비, 레드, 화이트, 블루

**사이즈 선택**
- 남성: 95, 100, 105, 110
- 여성: 90, 95, 100, 105

**소재**
- 겉감: 폴리에스터 90%, 폴리우레탄 10% (에어로쿨)
- 배색(메쉬): 폴리에스터 95%, 폴리우레탄 5%

**특징**
- 에어로쿨 원단으로 신속히 습기를 배출하여 쾌적함을 유지
- 소프트하고 산뜻한 느낌
- UV 차단 기능으로 자외선으로부터 피부 보호
- 기계 세탁 가능하여 손쉬운 관리
- 스트레치 소재로 활동성 좋음

**사이즈 표**
- 남성: 
  - 95: 가슴둘레 102, 어깨넓이 43.8, 소매길이 23.5
  - 100: 가슴둘레 107, 어깨넓이 45, 소매길이 24
  - 105: 가슴둘레 112, 어깨넓이 46.2, 소매길이 24.5
  - 110: 가슴둘레 117, 어깨넓이 47.4, 소매길이 25
- 여성:
  - 90: 가슴둘레 91, 어깨넓이 36, 소매길이 19.5
  - 95: 가슴둘레 96, 어깨넓이 37, 소매길이 20
  - 100: 가슴둘레 101, 어깨넓이 38, 소매길이 20.5
  - 105: 가슴둘레 106, 어깨넓이 39, 소매길이 21

**제조 정보**
- 제조원: (주)엘앤씨어패럴
- 제조국: 베트남
- 세탁/보관방법: 기계 세탁 가능

**배송 안내**
- 배송업체: 대한통운 (1588-1255)
- 주문 시 영업일 기준 익일 출고
- 제주도 및 도서산간 지역 추가 배송비 발생

**교환 및 반품 안내**
- 상품 수령 후 7일 이내에 교환/반품 신청 가능
- 반품 시 배송비 6,000원 발생
- 상품의 훼손이 확인되는 경우 교환/반품 불가

**입금계좌**
- 농협 355-0071-0863-03 (주)건원홀딩스

울시의 품격과 명예는 1935년 우수한 품질을 인정받아 영국 왕실로부터 두 번에 걸쳐 ROYAL Warrant 수여받았습니다. 260여 년의 역사와 기술력을 바탕으로 한 전통 클래식 골프웨어 브랜드 울시의 품질과 가치를 경험해 보세요."
슬레진저 남성 멀티 입체 포켓 메쉬 베스트 4종 택1,16971007.jpg,https://www.w-shopping.co.kr/display/goods/16971007,"슬레진저 남성 멀티 입체 포켓 메쉬 베스트 4종 택1

슬레진저는 140년의 전통을 가진 영국의 전통 스포츠 브랜드입니다. 1902년 이래로 윌블던 챔피언십의 공식 테니스 볼 공급업체로서 가장 권위 있는 테니스 대회의 일원이었습니다. 슬레진저는 내구성이 뛰어난 튼튼한 소재를 사용하여, 뛰어난 신축성과 부드러운 재질로 착용 시 편안함을 제공합니다.

**SLAZENGER S/S COLLECTION**

다양한 포켓 디자인으로 제작되어 다양한 수납공간으로 활용이 가능합니다. 오른쪽 하단에 슬레진저 자수 로고를 넣어 고급스러움을 강조하였습니다. 심플한 디자인으로 데일리하게 착용이 가능하며, 매쉬 소재를 적용하여 무더운 날씨에도 통기성이 뛰어나 쾌적하게 착용할 수 있습니다. 

**제품 특징**
- UV 차단: 야외 활동 시 자외선으로부터 피부를 보호합니다.
- 기계 세탁: 기계 세탁 시에도 원단의 늘어짐이 없는 탄탄한 나일론 소재입니다.

**사이즈 정보**
멀티 입체 포켓 메쉬 베스트의 사이즈는 다음과 같습니다:
- 90: 어깨 40, 가슴 52, 암홀 24, 밑단 51, 총장 64
- 95: 어깨 42, 가슴 54, 암홀 24.5, 밑단 53, 총장 66
- 100: 어깨 44, 가슴 56, 암홀 25, 밑단 55, 총장 68
- 105: 어깨 46, 가슴 58, 암홀 25.5, 밑단 57, 총장 70
- 110: 어깨 48, 가슴 60, 암홀 26, 밑단 59, 총장 72
- 115: 어깨 50, 가슴 62, 암홀 26.5, 밑단 61, 총장 74

(단면 기준으로 측정하였으며, 측정 방법에 따라 1~2cm 정도의 오차가 있을 수 있습니다.)

**배송 안내**
상품 주문 시 영업일 기준(주말 제외) 익일 출고되며, 배송은 2~3일 소요될 수 있습니다. 출고 당일 취소 및 변경은 불가하며, 주문 당일 취소/변경을 원하실 경우 주문취소 후 재결제 바랍니다.

**교환 및 반품 안내**
상품 수령 후 7일 이내에 교환/반품 신청이 가능하며, 상품 도착 후 영업일 기준 3~4일의 검수 기간이 필요합니다. 배송비는 고객님 부담이며, 불량/오배송 사유 교환 시에는 동일 옵션으로만 처리가 가능합니다. 

반품 주소지: 경기도 양주시 은현면 화합로 969번길 185-57, 주) 건원 물류창고

화면에서 보이는 제품의 색상은 모니터의 사양이나 빛에 따라 다를 수 있으며, 사이즈 표의 치수는 제품을 바닥에 놓고 측정한 것입니다. 단순 개봉은 교환/반품 가능하나, 배송받으신 포장 그대로 교환, 반품 부탁드립니다."
라코스테 코튼 플리스 조거팬츠/트랙팬츠 2종 택1,17224070.jpg,https://www.w-shopping.co.kr/display/goods/17224070,"라코스테 코튼 플리스 조거팬츠/트랙팬츠 2종 택1

컬러: 블랙, 네이비  
사이즈: XS, S, M, L, XL, 2XL  

라코스테 스포츠 코튼 플리스 조거팬츠는 깔끔하고 편하게 착용할 수 있는 트레이닝 조거팬츠입니다. 베이직한 디자인에 부드러운 촉감으로 착용감이 좋으며, 보온성이 있어 쌀쌀한 시즌에 착용하기 적합합니다.

추천 사이즈  
허리 단면:  
- 28: 34cm  
- 30: 34cm  
- 32: 36cm  
- 34: 39cm  
- 36: 41cm  
- 38: 43cm  

밑위 길이:  
- 28: 27cm  
- 30: 28cm  
- 32: 28cm  
- 34: 28cm  
- 36: 29cm  
- 38: 30cm  

밑단 단면:  
- 28: 13.5cm  
- 30: 13.5cm  
- 32: 14cm  
- 34: 14cm  
- 36: 14.5cm  
- 38: 15cm  

총 길이:  
- 28: 94cm  
- 30: 96cm  
- 32: 98cm  
- 34: 98cm  
- 36: 96cm  
- 38: 99cm  

위 사이즈는 상품의 실측 사이즈이며, 케어 라벨의 신체 표기 치수와는 다를 수 있습니다. 사이즈는 측정 방법과 환경에 따라 1~3cm 가량의 오차가 발생할 수 있습니다.

정보  
소재: 면 83%, 폴리에스터 17%  
원산지/수입원: 캄보디아 / (주)건원 병행수입  
제조년월: 2020.07  
세탁 방법: 단독 손세탁 및 케어 라벨 세탁 정보 참고  
모델 스펙 및 착용 사이즈: HEIGHT 182CM / WEIGHT 73KG / XL  

라코스테 스포츠 코튼 플리스 트랙팬츠는 깔끔하고 편하게 착용할 수 있는 테니스 트랙팬츠입니다. 베이직한 디자인에 부드러운 촉감으로 착용감이 좋으며, 보온성이 있어 쌀쌀한 시즌에 착용하기 적합합니다.

추천 사이즈  
허리 단면:  
- 28: 33cm  
- 30: 34cm  
- 32: 35cm  
- 34: 39cm  
- 36: 42cm  
- 38: 44cm  

밑위 길이:  
- 28: 26cm  
- 30: 27cm  
- 32: 27cm  
- 34: 28cm  
- 36: 30cm  
- 38: 30cm  

밑단 단면:  
- 28: 14cm  
- 30: 14.5cm  
- 32: 15cm  
- 34: 15cm  
- 36: 16cm  
- 38: 16cm  

총 길이:  
- 28: 104cm  
- 30: 105cm  
- 32: 106cm  
- 34: 107cm  
- 36: 109cm  
- 38: 110cm  

위 사이"
