name,image,url,contents
이동수 골프웨어 남성 컴포트 자켓,34124865.jpg,https://m.nsmall.com/goods/34124865,"이동수 골프웨어 남성 컴포트 자켓

세련된 남성을 위한 프렌치 감성의 디자인과 퀄리티를 갖춘 제품입니다. 베이직한 컬러와 소재로 캐주얼한 디자인을 통해 실용성과 다양성을 모두 만족시킵니다. 노멀하면서도 대중적인 고객 니즈에 부합하는 제품으로, 다양한 아이템과 클래식한 맨즈룩을 완성시켜 줍니다.

모델명: 03374  
색상: 그레이, 네이비  
감: 나일론 87%, 폴리우레탄 13%  
사이즈: 95, 100, 105, 110  
소재: 나일론 87%, 폴리우레탄 13%  
착용시기: 봄, 여름  

* 사이즈는 재는 방법에 따라 ±2cm 정도 오차가 있을 수 있습니다.

사이즈                     95             100             105             110  
가슴너비                51.5           54           56.5           59  
어깨너비                44.5           46           47.5           49  
팔길이                    60.5           61.5           62.5           63.5  
총기장                     72              72              73              74  

※ 측정 위치와 방법에 따라 ±2~3cm 정도 차이가 있을 수 있으며, 색상별 같은 사이즈의 옵션이더라도 실측 사이즈는 동일하지 않을 수 있습니다.

세탁 방법:  
- 단독 물세탁  
- 염소 표백 금지  
- 약하게 손세탁  
- 다림질 금지  
- 드라이 금지  

중성세제 및 섬유 유연제를 사용하시고, 세탁기 및 탈수기 이용 시 소재 특성상 보풀이 일어날 수 있으니 서늘한 그늘에 건조해 주세요. 

가벼운 터치감을 선사하며 청량감을 줍니다.  
기본 라펠 디자인에 투 버튼으로 단정하며 깔끔함을 보여줍니다.  
가슴판 웰트 포켓으로 클래식한 디테일을 보여줍니다.  
2버튼 포인트 단추의 디테일로 멋스러움을 강조합니다."
남자 FW 울소재 브이넥 가디건 DO-CA-CD-와인,33502436.jpg,https://m.nsmall.com/goods/33502436,"온라인 판매처 분야

남성 바지 부문 우수
파파브로

대한소비자협의회 한국소비자평가

2023 한국소비자산업평가
파파브로(주식회사 샵앤)에서 제작된 이미지로, 무단 사용 시 법적 책임

제품 정보:
남자 FW 울소재 브이넥 가디건
색상: 와인, 차콜, 블랙
소재: 울 50%, 아크릴 50%
편안한 착용감과 따뜻한 소재로 제작되었습니다.
베이직하고 편안한 브이넥 디자인으로, 깔끔한 소매 마감이 돋보입니다.
부드러운 원단과 적당한 길이로 신축성이 뛰어난 밑단 디자인입니다.

사이즈:
- 95cm, 100cm, 105cm, 110cm

배송 안내:
배송기간은 결제일로부터 2~3일 정도 소요됩니다(공휴일 제외).
일부 상품은 입고 지연으로 인해 배송이 늦어질 수 있습니다.

주문 전 필독 사항:
제품의 촬영 및 조명에 따라 색상 차이가 있을 수 있으며, 측정 방법에 따라 1~3cm의 오차가 발생할 수 있습니다.
실밥 나옴, 마감 처리는 불량 사유가 되지 않습니다.

교환 및 반품:
제품과 함께 보내드린 교환 및 반품 신청서에 반품 사유를 기재하여 반드시 반품지 주소로 보내주셔야 합니다.
교환 및 색상 교환은 상품을 받으신 날로부터 7일 이내 가능합니다.
교환 배송비는 6,000원(주문 시 선결제 시 3,000원)입니다.

고객센터:
전화: 1661-5681
상담시간: 평일 10:00 ~ 17:00
점심시간: 평일 12:00 ~ 13:00
토요일 및 공휴일 휴무

반품지 주소:
서울특별시 중구 광희동 1가 17-1 삼진빌딩 2층
도로명: 서울특별시 중구 을지로38길 19-8 삼진빌딩 2층

배송비 입금 계좌:
농협 301-0257-0155-21 (예금주: 샵맨)
우리은행 1002-036-833168 (예금주: 박성호)

배송 추적:
평일 기준 오후 7~8시에 상품이 택배로 일괄 출고됩니다.
발송된 상품은 8시 이후 배송 추적이 가능합니다.

주문 시 정확한 정보 기재:
휴대폰 번호를 안심 번호로 기재하는 경우, 통화가 다른 구매 고객님께 연결될 수 있습니다.
연락 가능한 번호를 남겨주시기 바랍니다.

기타 안내:
제품 누락 건의 경우 고객센터로 문의하시기 바랍니다."
빌리버스 남자 가디건 BMD036 간절기 무지 오버핏 아우터,33482291.jpg,https://m.nsmall.com/goods/33482291,"210 04160  
131 94165 704  

011237102 83100 507/4738  

06-1 03 7018380  

10 809 00142 2096 1300  
0600010@31 20680/03  
* 51191 6/61/0/17212  
6@ 21 '/1 00  

구김에 강하고 형태 안정성이 우수하며 세탁 후에도 다림질 없이 간편하게 관리할 수 있습니다.  

스판으로 다양한 활동에도 착용감을 느낄 수 있습니다.  

자유롭고 편안하게 착용하기 좋고 세탁 후 쉽게 줄어들거나 늘어나지 않게 제작되었습니다.  

데일리한 컬러부터 포인트 컬러까지 다채로운 7가지 컬러로 준비했습니다.  

사이즈: 어깨너비 62cm, 가슴폭 63cm, 소매기장 50cm, 암홀 26cm, 종기장 71cm  
신축성: 좋음, 두께: 보통, 비침: 밝은 색상만, 안감: 일반, 핏: 슬림  

소재: 폴리에스터 80%, 레이온 20%  
제조국: 한국  

품질 보증 기준 관련 법 및 소비자 분쟁 해결 준수에 따릅니다.  

(주) 빌리버스의 모든 이미지는 저작권법의 보호 아래 있으며, 무단 사용 시 법적 처벌을 받을 수 있습니다.  

배송 방법: 택배 발송 (우체국 택배 1588-1300)  
배송 지역: 전국 배송 (해외 배송 가능)  
배송 기간: 의류, 패션 잡화, 가방, 신발은 영업일 기준 1-3일 이내 배송되며, 수제화일 경우 제작 상품이므로 7일 이상 소요됩니다.  

- 부득이하게 우체국 택배 이외에 타 택배로 보내시는 경우 선불로 보내주시기 바랍니다.  
(우체국 택배 이외의 타 택배사 착불로 보내시는 경우 고객님께 비용 청구될 수 있습니다.)  
- 제주 및 도서 산간 지역일 경우 배송 시 추가 비용이 발생할 수 있습니다. (제주: 3,000원 / 도서 산간 지역: 5,000원)  
- 상품 특성에 따라 배송 지연 시 개별적으로 연락드립니다. (꼭 필요하신 상품은 여유 있게 주문해 주세요.)  

공휴일은 휴무로 배송이 1-2일 더 지연됩니다.  

교환/반품 관련 안내:  

- 상품 교환/반품은 수령일로부터 7일 이내(주말, 공휴일 포함) 신청해주셔야 합니다.  
- 교환/반품 시에는 반드시 고객센터를 통해 신청해주셔야 합니다. 판매자와 상의되지 않은 제품을 교환/반품하시는 경우 확인이 불가능하여 처리 지연될 수 있습니다.  
- 불량 상품일 경우 동일한 상품, 색상으로 교환이 가능합니다.  
- 분실 위험이 있기에 직접 반품 보내지 마시고 구매 사이트 또는 고객센터에 문의해 주시기 바랍니다.  

교환/반품이 불가능한 경우:  

- 상품 포장(투명 폴리백/상자) 및 상품 태그가 손상되었을 경우  
- 불량 상품 포함 상품 가치가 떨어진 경우 (세탁, 수선, 화장품, 향수 냄새, 사용 흔적 등)  
- 구매한 상품의 구성품이 누락된"
[파파브로] 간절기 6컬러 울혼방 베이직 엠블럼 가디건 DO-CA-VIP,34718068.jpg,https://m.nsmall.com/goods/34718068,"온라인 판매처 분야

남성 바지 부문 우수
파파브로

대한소비자협의회와 한국소비자평가

2023 한국소비자산업평가

파파브로(주식회사 샵앤)에서 제작된 이미지로, 무단 사용 시 법적 책임이 따릅니다.

베이직 에일리 가디건

부드럽고 신축성 좋은 소재로 착용감이 편하고, 적당한 두께감으로 가을&겨울에 입기 좋은 기본 가디건입니다.

색상: 그린, 네이비, 블랙, 엘로우, 와인, 그레이

편안한 방스판 소재로 우수한 스트레치 원단이 신축성과 탄력성이 높아 다양한 활동에도 불편함이 없는 소재입니다.

사이즈 정보:

- 95: 어깨너비 42, 가슴너비 49.5, 소매길이 49, 기장 67
- 100: 어깨너비 43, 가슴너비 52, 소매길이 50, 기장 68
- 105: 어깨너비 44, 가슴너비 54.5, 소매길이 51, 기장 69
- 110: 어깨너비 45, 가슴너비 59, 소매길이 52, 기장 70

소재: 폴리에스터 50%, 울 50%

세탁법: 염소 표백 금지, 손세탁, 드라이클리닝 가능

고객님의 화면 해상도에 따라 제품 색상의 차이가 발생할 수 있습니다.

배송 안내

배송 기간은 결제일로부터 2~3일 정도 소요됩니다(공휴일 제외). 일부 입고가 지연되는 상품은 배송이 늦어질 수 있으니 양해 부탁드립니다.

주문 전 취소나 변경을 원하시는 경우 오전 11시 30분 이전까지 고객센터로 연락 바랍니다.

반품 및 교환 안내

상품 수령일로부터 7일 이내에 교환 및 반품이 가능합니다. 교환 및 반품 신청서는 제품과 함께 보내드린 신청서에 반품 사유를 기재하여 반품지 주소로 보내주셔야 합니다. 

고객 단순 변심에 의한 교환&반품은 상품 수령일 7일 이내에 위의 절차에 따라 보내 주시기 바랍니다. 상품을 세탁, 수선, 향수 등으로 오염시키거나 택을 제거한 경우 자동 반송 처리됩니다.

고객센터: 1661-5681
상담시간: 평일 10:00 ~ 17:00, 점심시간 12:00 ~ 13:00 (토요일, 공휴일 휴무)

반품지 주소:
서울특별시 중구 광희동 1가 17-1 삼진빌딩 2층
도로명: 서울특별시 중구 을지로38길 19-8 삼진빌딩 2층

배송비 입금 계좌:
농협 301-0257-0155-21 (예금주: 샵앤)
우리은행 1002-036-833168 (예금주: 박성호)

주문 시 정확한 정보 기재 부탁드립니다."
남자 부클 울니트 카라넥 투포켓 집업가디건 가을 자켓,34717256.jpg,https://m.nsmall.com/goods/34717256,"남자 부클 울니트 카라넥 투포켓 집업가디건 가을 자켓

사이즈는 한 사이즈 기준으로만 표기된 상품의 경우, 카테고리별로 참고하시어 기준 사이즈에서 편차 +40 / -0 확인하시면 됩니다.

단면 기준 (cm)
티셔츠류 : 어깨 1 / 가슴 1 / 허리 1 / 소매 밑단 0.5 / 총장 1
자켓류 : 어깨 1.5 / 가슴 2.5 / 허리 2 / 소매 밑단 0.5 / 총장 1
원피스류 : 어깨 1.5 / 가슴 1.5 / 허리 1.5 / 소매 밑단 0.5 / 총장 1.5
팬츠류 : 허리 2 / 힙 2 / 밑위 1 / 허벅지 1 / 밑단 1 / 총장 1
스커트류 : 허리 2 / 힙 2 / 밑단 2 / 총장 1

(*미세한 측정 차이는 있을 수 있습니다.)

카카오톡 실시간 상담
평일 10:00 ~ 17:00
점심시간 13:00 ~ 14:00
공휴일 및 주말은 상담에 제한이 있을 수 있습니다.

1. 카카오톡 검색창에 '옷자락' 입력
2. '옷자락' 채널 추가 클릭 후 문의

대량으로 주문하실 경우 카카오톡으로 문의 주시면 추가 할인을 해드립니다.

구매 전 확인해주세요!

최근 옷자락을 사칭한 거래 사기가 확인되었습니다. 옷자락 카카오채널 공식 계정에 체크 표시가 되어 있으며, 저희는 고객님께 절대 메시지(카카오채널 등)로 현금 결제를 유도하고 있지 않습니다.

상품 정보:
컬러: 오트밀 / 차콜 / 라이트 민트
사이즈: 44~66 사이즈까지 착용 가능
실착 시 체형에 따라 이미지와 다를 수 있으므로 실측 사이즈를 확인하시기 바랍니다.

실측 사이즈: 가슴 63 / 밑단 50 / 암홀 26 / 어깨 53 / 총장 69 / 소매 길이 62 / 소매 단면 11
*사이즈는 재는 방식에 따라 ±2~3cm 오차가 있을 수 있습니다.

모델 정보: 키 176cm, 몸무게 68kg, 상의 100, 하의 30, 발사이즈 260mm

배송 안내:
배송 택배사: 한진택배 (1588-0011)
배송비: 전 상품 무료배송
배송 기간: 기본 1~3일 소요 (거래처별 상황에 따라 배송 지연이 있을 수 있습니다.)
배송 지연: 배송 지연 시(주말, 공휴일 제외) 카카오톡 또는 문자메시지로 개별 안내해 드리며, 상품 입고 시 순차적으로 발송됩니다.
품절 안내: 결제 완료 후 품절된 경우 카카오톡 또는 문자메시지로 안내해 드립니다.

세탁 시 주의사항:
- 손세탁 또는 단독 세탁을 권장합니다. 모든 상품은 첫 세탁 시 드라이클리닝을 권장합니다.
- 상품을 변형 없이 오래 유지하시려면 드라이클리닝을 권장합니다.
- 데님, 진한 색상의 원단의 경우 세탁 시 물 빠짐 현상이 있을 수 있으므로 단독 세"
남자 집업가디건 울니트 카라넥 더블포켓 덤블 FW 자켓,34717171.jpg,https://m.nsmall.com/goods/34717171,"남자 집업 가디건 울 니트 카라 넥 더블 포켓 덤블 FW 자켓

사이즈는 한 사이즈 기준으로만 표기된 상품의 경우, 카테고리별로 아래를 참고하시어 기준 사이즈에서 편차 +4/ -0.1을 확인하시면 됩니다.

단면 기준 (단위: cm)

- 티셔츠류: 어깨 1 / 가슴 1 / 허리 1 / 소매 밑단 0.5 / 총장 1
- 자켓류: 어깨 1.5 / 가슴 2.5 / 허리 2 / 소매 밑단 0.5 / 총장 1
- 원피스류: 어깨 1.5 / 가슴 1.5 / 허리 1.5 / 소매 밑단 0.5 / 총장 1.5
- 팬츠류: 허리 2 / 힙 2 / 밑위 1 / 허벅지 1 / 밑단 1 / 총장 1
- 스커트류: 허리 2 / 힙 2 / 밑단 2 / 총장 1

(*미세한 측정 차이는 있을 수 있습니다.)

컬러: 오트밀 / 차콜 / 라이트 민트
총 3가지 컬러로 준비했습니다.

사이즈: 44~66 사이즈까지 착용 가능합니다.
실착 시 체형에 따라 이미지와 다를 수 있습니다. 실측 사이즈를 확인하시기 바랍니다.

실측 사이즈: 가슴 63 / 밑단 50 / 암홀 26 / 어깨 53 / 총장 69 / 소매 길이 62 / 소매 단면 11
*사이즈는 재는 방식에 따라 2~3cm 오차가 있을 수 있습니다.

모델 정보: 키 176cm, 몸무게 68kg, 상의 100, 하의 30, 발사이즈 260mm

배송 안내
- 배송 택배사: 한진택배 (1588-0011)
- 배송비: 전 상품 무료배송
- 배송 기간: 기본 1~3일 소요 (거래처별 상황에 따라 배송 지연이 될 수 있습니다.)
- 배송 지연: 배송 지연 시(주말, 공휴일 제외), 카카오톡 또는 문자 메시지로 개별 안내해 드리며, 상품 입고 시 순차적으로 발송됩니다.
- 품절 안내: 결제 완료 후 품절된 경우 카카오톡 또는 문자 메시지로 안내드립니다.

세탁 시 주의사항
- 손세탁 또는 단독 세탁을 권장해드립니다. 모든 상품 첫 세탁 시에는 드라이클리닝 해주시는 것이 좋습니다.
- 상품을 변형 없이 오래 유지하시려면 드라이클리닝을 권장드립니다.
- 데님, 진한 색상의 원단의 경우 세탁 시 물 빠짐 현상이 있을 수 있으므로 단독 세탁을 권장합니다.

구매 시 주의사항
- 사이즈는 측정 방법에 따라 1~3cm 오차가 있을 수 있습니다.
- 제품의 색상은 사용자의 모니터 해상도, 기종에 따라 실제 색상과 다소 차이가 있을 수 있습니다.
- 모델 컷은 스튜디오 및 야외 촬영 특성상(햇빛, 조명 등) 모델 착용 색상과 실제 색상이 차이가 있을 수 있으니 디테일 컷을 참고해 주시기 바랍니다.
- 패턴이 있는 상품의 경우 원단의 특성상 재단 및 봉제 시 패턴의"
(DK)포켓조끼무스탕,34717152.jpg,https://m.nsmall.com/goods/34717152,"이

(DK) 포켓조끼 무스탕

모니터의 빛의 각도와 해상도에 따라 실제 색상과 조금 다르게 보일 수 있습니다.

- 베이지 - 66196
- 카키 - 08061
- 카멜 -

제조국(제조사): 타이완

가을/겨울

색상: 카멜, 베이지, 카키
소재: 폴리 70%, 인조세무 30%
드라이클리닝

핏: 정사이즈
신축성: 없음
비침: 없음
두께감(보온성): 롤업
안감: 있음

사이즈는 재는 방법에 따라 차이가 있을 수 있습니다.
제품 색상은 사용자의 모니터 해상도에 따라 다소 차이가 있을 수 있습니다.
제품컷의 색상이 실제 제품 색상과 가장 비슷합니다.

추천 사이즈는 평균 사이즈에 의거한 것으로, 개개인별 체형 차이에 따른 오차는 감안해 주시기 바랍니다.

모델 정보: 키 163cm, 몸무게 47kg, 상의 55(6), 하의 26(9), 발 사이즈 245mm

제품을 받으신 후 구매 결정/수령 확인 버튼을 꼭 눌러주시고, 상품을 착용하시기 전에 상품의 상태를 꼼꼼히 살펴보시기 바랍니다. 단순 변심의 경우, 상품을 착용하신 뒤에는 교환이나 반품이 불가하니 유의해 주세요.

주문 시 배송 요철 사항에 기재된 내용은 배송 시 반영되지 않을 수 있습니다. 요청 사항은 게시판이나 전화를 통해 문의 주시면 확인 가능합니다.

1. 고객센터

전화 상담: 평일 10:00~16:00 (토, 일, 공휴일 휴무)
(점심시간 12:30~13:30)
점심시간 및 상담 이후 전화 폭주 등의 부득이한 상황에는 전화 상담이 불가능하오니 양해 바랍니다.

주의사항

상품 선택 사항을 확인하고 선택하시길 바랍니다. 모니터 화질 및 고객님의 사이즈에 따라 상품의 재질과 핏감이 다를 수 있습니다. 미선택이나 잘못 선택하셨을 경우 배송 지연 및 오배송의 원인이 됩니다. 주문 변경 및 주소지, 연락처 변경은 게시판 또는 전화로 연락주시기 바랍니다. 게시판 확인이 늦을 경우 변경 전 상태로 출고될 수 있으며, 그에 따른 추가 배송비는 고객님의 부담입니다.

3. 배송 관련

저희 1스타일은 빠르고 안전한 대한통운 택배를 이용합니다. 배송 기간은 1~3일 정도이며, 입고 지연이나 특별한 사정의 경우 배송 지연 관련 문자 안내를 해드립니다. 두 개 이상의 묶음 배송 상품일 경우 선입고된 제품을 부분 발송해 드릴 수 있으니, 안에 동봉된 메모를 확인하시고 미출고 제품은 입고되는 대로 최대한 빨리 출고해 드리겠습니다. (수취 거부로 인한 배송비는 고객님의 부담입니다) 제주/도서산간의 경우 배송비 5,000원이 추가됩니다.

4. 교환 및 환불

단순 변심의 경우 수령 후 7일 이내 접수 바라며, 상품 불량의 경우 교환이 가능합니다. 상품의 오배송 및 출고 시 상품 불량인 경우 배송료는 1스타일에서 부담합니다. 고객 변심의 경우 배송비(6,000원)는 고객님 부담이오니 이점 참고 바랍니다."
(DK)골드조끼무스탕,34717151.jpg,https://m.nsmall.com/goods/34717151,"(01) 골드 조끼 무스탕

모니터의 빛의 각도와 해상도 차이에 따라 실제 색상과 조금 다르게 보일 수 있습니다.

아이보리 - 1407 / 호가 손  
카멜 - 0806 / 쓴  

제조국(제조사): 발수

착용 시즌: 가을/겨울

색상: 아이보리, 카멜  
소재: 폴리 100%

드라이클리닝

어깨 사이즈: 37  
가슴 사이즈: 53  

실제 제품 색상과 가장 비슷합니다.  
평균 사이즈에 의거한 것으로, 개개인별 체형 차이에 따른 오차는 감안해 주시기 바랍니다.

모델 정보: 키 163cm, 몸무게 47kg, 상의 55(6), 하의 26(9), 발 사이즈 245mm

제품을 받으신 후 구매 결정/수령 확인 버튼을 꼭 눌러주시고,  
상품을 착용하시기 전에 상품의 상태를 꼼꼼히 살펴주시기 바랍니다.  
단순 변심으로 인한 교환이나 반품은 안 되오니 유의해 주세요.

주문 시 배송 요청 사항에 기재된 내용은 배송 시 반영되지 않을 수 있습니다.  
요청 사항은 게시판이나 전화를 통해 문의 주시면 확인 가능합니다.

1. 고객센터

전화 상담: 평일 10:00~16:00 (토, 일, 공휴일 휴무)  
(점심시간 12:30~13:30)  
점심시간 및 상담 이후 시간에 전화 폭주 등의 부득이한 상황에는  
전화 상담이 불가능하오니 양해 바랍니다.

주의사항

상품 선택 사항을 확인하고 선택하시길 바랍니다.  
모니터 화질 및 고객님의 사이즈에 따라 상품의 재질과 핏감이 다를 수 있습니다.  
미선택이나 잘못 선택하셨을 경우 배송 지연 및 오배송의 원인이 됩니다.  
주문 변경 및 주소지, 연락처 변경은 게시판 또는 전화로 연락주시기 바랍니다.  
(게시판 확인이 늦을 경우 변경 전 상태로 출고될 수 있으며,  
그에 따른 추가 배송비는 고객님의 부담입니다.)

3. 배송 관련

저희 1스타일은 빠르고 안전한 CJ 대한통운 택배를 이용합니다.  
배송 기간은 1~3일 정도이며, 입고 지연이나 특별한 사정의 경우  
배송 지연 관련 문자 안내를 해드리고 있습니다.  
두 개 이상의 묶음 배송 상품일 경우 선입고된 제품을 부분 발송해드릴 수 있으니,  
안에 동봉된 메모를 확인하시고 미출고 제품은 입고되는 대로 최대한 빨리 출고해드리겠습니다.  
(수취 거부로 인한 배송비는 고객님의 부담입니다.)  
제주/도서산간의 경우 배송비 5,000원이 추가됩니다.

4. 교환 및 환불

단순 변심: 수령 후 7일 이내 접수 바랍니다.  
상품 불량인 경우 배송료는 1스타일에서 부담합니다.  
고객 변심의 경우 배송비(6,000원)는 고객님 부담이오니 이점 참고 바랍니다.

교환을 원하시는 경우 게시판이나 전화로 접수해주시고,  
교환 상품 보내주실 때 안에 교환하실 상품, 사이즈, 컬러 등을  
정확히 기재한 메모를 동봉하여 보내주시기 바랍니다.  
- 교환 및 반품의 경우 상품과"
(DK)다야누비스트링조끼,34717150.jpg,https://m.nsmall.com/goods/34717150,"**(DK) 다야 누비 스트링 조끼**

모니터의 빛의 각도와 해상도에 따라 실제 색상과 조금 다르게 보일 수 있습니다.

- 크림
- 밤색
- 카키
- 블랙

착용 시즌: 가을/초겨울  
재질: 나일론 100%  
핏: 루즈핏  
신축성: 없음  
비침: 없음  
두께감 (보온성): 보통  
안감: 있음  

상품 정보:

- 사미즈는 재는 방법에 따라 1-3cm 차이가 있을 수 있습니다.
- 제품 색상은 사용자의 모니터 해상도에 따라 실제 색상과 다소 차이가 있을 수 있습니다.
- 제품컷의 색상이 실제 제품 색상과 가장 비슷합니다.

모델 정보: 키 163cm, 몸무게 47kg, 상의 55(6), 하의 26(9), 신발 사이즈 245mm

구매 시 주의 사항:

- 상품을 착용하시기 전에 상품의 상태를 꼼꼼히 살피시기 바랍니다.
- 상품을 착용한 뒤에는 교환이나 반품이 불가능하니 유의해 주세요.
- 주문 시 배송 요청 사항은 기재된 내용대로 반영되지 않을 수 있습니다. 요청사항은 게시판이나 전화를 통해 문의해 주시면 확인 가능합니다.

고객센터:

전화 상담: 평일 10:00~16:00 (토, 일, 공휴일 휴무)  
(점심시간 12:30~13:30)  
전화 상담이 불가능한 경우 양해 부탁드립니다.

배송 관련:

저희 1스타일은 빠르고 안전한 대한통운 택배를 이용합니다.  
배송 기간은 1~3일 정도이며, 입고 지연이나 특별한 사정이 있을 경우 배송 지연 관련 문자 안내를 해드립니다.  
두 개 이상의 묶음 배송 상품일 경우 선입고된 제품을 부분 발송해 드릴 수 있으니 안에 동봉된 메모를 확인하시고 미출고 제품은 입고되는 대로 최대한 빨리 출고해 드리겠습니다.  
(수취 거부로 인한 배송비는 고객님 부담입니다)  
제주/도서 산간의 경우 배송비 5,000원이 추가됩니다.

교환 및 환불:

단순 변심의 경우 수령 후 7일 이내에 접수해 주시기 바라며, 상품이 불량인 경우 배송료는 1스타일에서 부담합니다. 고객 변심의 경우 왕복 배송비(6,000원)는 고객님 부담입니다.

교환을 원하시는 경우 게시판이나 전화로 접수해 주시고, 교환 상품을 보내실 때 안에 교환할 상품, 사이즈, 컬러 등을 정확히 기재한 메모를 동봉하여 보내주시기 바랍니다.  
교환 및 반품의 경우 상품과 함께 동봉된 사은품, 기타 첨부물이 있을 경우 그대로 동봉하셔서 보내주셔야 합니다.

불량 교환일 경우 전화나 게시판에 불량 사항을 접수해 주시고 2중 포장 후 상품이 도착하도록 해 주시면 배송비는 저희가 부담하여 교환 처리해 드립니다.  
(단, 동일 상품 동일 사이즈로 교환만 가능하며, 다른 상품 다른 컬러 다른 사이즈로 교환을 원하실 경우 교환 배송비를 고객님께서 부담하셔야 하니 이점 양지 바랍니다.)

교환 및 반품의 경우 해당 사이트에서 반품, 교환 신청을 우선 해주시고 대한통운"
(DK)후다패딩조끼JP,34717101.jpg,https://m.nsmall.com/goods/34717101,"(마후다패딩조끼)

제품 정보:
- 색상: 베이지, 카키, 블랙
- 소재: 나일론 100%
- 착용 시즌: 가을/겨울
- 모델 착용 사이즈: 0
- 핏: 루즈핏
- 신축성: 없음
- 비침: 없음
- 두께감(보온성): 벨랩
- 안감: 있음

사이즈 정보:
- 어깨: 57cm
- 가슴: 59cm

색상은 모니터의 해상도와 각도에 따라 실제 제품 색상과 차이가 있을 수 있습니다. 

추천사:
평균 사이즈를 기준으로 하였으나 개인별 체형 차이로 인한 오차가 있을 수 있습니다. 이 점 참고하시기 바랍니다.

고객 센터:
전화 상담: 평일 10:00~16:00 (토, 일, 공휴일 휴무)
점심시간: 12:30~13:30 
상담 후 전화 폭주 등의 상황으로 전화 상담이 불가능할 수 있으니 양해 부탁드립니다.

주의 사항:
상품 선택 사항을 확인하고 선택하시길 바랍니다. 모니터 화질 및 고객님의 사이즈에 따라 상품의 재질과 핏감이 다를 수 있습니다. 잘못 선택하셨을 경우 배송 지연 및 오배송의 원인이 될 수 있습니다. 주문 변경 및 주소지, 연락처 변경은 게시판이나 전화로 연락주시기 바랍니다. 게시판 확인이 늦을 경우 변경 전 상태로 출고될 수 있으며, 그에 따른 추가 배송비는 고객님의 부담입니다.

배송 관련:
저희 1스타일은 빠르고 안전한 대한통운 택배를 이용합니다. 배송 기간은 1~3일 정도이며, 입고 지연이나 특별한 사정의 경우 배송 지연 관련 문자 안내를 해드리고 있습니다. 두 개 이상의 묶음 배송 상품일 경우 선입고된 제품을 부분 발송해드릴 수 있으니, 동봉된 메모를 확인하시고 미출고 제품은 입고되는 대로 최대한 빨리 출고해드리겠습니다. 제주/도서산간의 경우 배송비 5,000원이 추가됩니다.

교환 및 환불:
단순 변심의 경우 수령 후 7일 이내에 접수하시기 바랍니다. 상품의 오배송 및 출고 시 상품 불량인 경우 배송료는 1스타일에서 부담합니다. 고객 변심의 경우 배송비(6,000원)는 고객님이 부담하오니 이 점 참고 바랍니다.

교환을 원하시는 경우 게시판이나 전화로 접수해주시고, 교환 상품을 보내실 때 안에 교환하실 상품, 사이즈, 컬러 등을 정확히 기재한 메모를 동봉하여 보내주시기 바랍니다. 교환 및 반품의 경우 상품과 함께 동봉된 사은품, 기타 첨부물이 있을 경우 그대로 동봉하셔서 보내주셔야 합니다.

불량 교환일 경우 전화나 게시판에 불량 사항을 접수해주시고 2중 포장 후 상품이 도착하도록 해주시면 배송비는 저희가 부담하여 교환 처리 해드립니다. 단, 동일 상품, 동일 사이즈로 교환만 가능하며, 다른 상품, 다른 컬러, 다른 사이즈로 교환을 원하실 경우 교환 배송비를 고객님이 부담하셔야 하니 이 점 양지 바랍니다.

교환 및 반품의 경우 해당 사이트에서 반품, 교환 신청을 우선 해주시고 대한통운 택배(1588-1256)로 보내주셔야 합니다. 고객 변심"
